hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,src
62,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-card-2a,35957a,d
62,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-card-2a,35957a,c
62,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-card-2a,35957a,a
63,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-1,35957,b
63,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-1,35957,e
63,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-inf-1a,35957a,d
63,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-1a,35957a,a
63,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-1a,35957a,c
64,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-2,35957,c
64,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-2,35957,e
64,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-inf-2a,35957a,d
64,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-2a,35957a,a
64,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-2a,35957a,b
65,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-3,35957,b
65,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-3,35957,e
65,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-inf-3a,35957a,c
65,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-3a,35957a,a
65,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-3a,35957a,d
66,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-4,35957,e
66,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-4,35957,d
66,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-inf-4a,35957a,b
66,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-4a,35957a,c
66,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-4a,35957a,a
67,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-6,35957,e
67,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-inf-6,35957,c
67,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-inf-6a,35957a,b
67,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-6a,35957a,a
67,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-inf-6a,35957a,d
68,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-vte-1,35957,b
68,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-vte-1,35957,c
68,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-vte-1a,35957a,d
68,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-vte-1a,35957a,a
68,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-vte-1a,35957a,e
69,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-vte-2,35957,a
69,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005,al,al_scip-vte-2,35957,c
69,2505 u s highway 431 northa,boaza,marshalla,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310a,10005a,ala,al_scip-vte-2a,35957a,d
69,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-vte-2a,35957a,b
69,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005a,ala,al_scip-vte-2a,35957a,e
70,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-1,35631,e
70,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-1,35631,c
70,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-1a,35631a,b
70,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-1a,35631a,d
70,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-1a,35631a,a
71,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-2,35631,d
71,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-2,35631,a
71,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-2a,35631a,c
71,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-2a,35631a,b
71,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-2a,35631a,e
72,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-3,35631,e
72,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-3,35631,a
72,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-3a,35631a,d
72,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-3a,35631a,c
72,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-3a,35631a,b
73,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-4,35631,b
73,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-4,35631,e
73,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-4a,35631a,d
73,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-4a,35631a,a
73,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-4a,35631a,c
74,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-5,35631,c
74,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-5,35631,a
74,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-5a,35631a,d
74,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-5a,35631a,e
74,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-5a,35631a,b
75,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-7a,35631,a
75,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-7a,35631,e
75,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-7aa,35631a,d
75,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-7aa,35631a,c
75,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-7aa,35631a,b
76,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-8a,35631,d
76,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_ami-8a,35631,c
76,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_ami-8aa,35631a,e
76,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-8aa,35631a,b
76,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_ami-8aa,35631a,a
77,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-1,35631,d
77,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-1,35631,e
77,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_hf-1a,35631a,a
77,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-1a,35631a,c
77,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-1a,35631a,b
78,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-2,35631,a
78,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-2,35631,d
78,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_hf-2a,35631a,b
78,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-2a,35631a,e
78,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-2a,35631a,c
79,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-3,35631,e
79,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-3,35631,c
79,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_hf-3a,35631a,d
79,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-3a,35631a,b
79,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-3a,35631a,a
80,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-4,35631,d
80,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_hf-4,35631,c
80,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_hf-4a,35631a,b
80,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-4a,35631a,e
80,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_hf-4a,35631a,a
81,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-2,35631,a
81,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-2,35631,b
81,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-2a,35631a,c
81,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-2a,35631a,e
81,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-2a,35631a,d
82,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-3b,35631,e
82,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-3b,35631,b
82,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-3ba,35631a,d
82,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-3ba,35631a,c
82,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-3ba,35631a,a
83,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-4,35631,a
83,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-4,35631,e
83,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-4a,35631a,c
83,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-4a,35631a,b
83,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-4a,35631a,d
84,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-5c,35631,a
84,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-5c,35631,d
84,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-5ca,35631a,c
84,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-5ca,35631a,b
84,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-5ca,35631a,e
85,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-6,35631,a
85,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-6,35631,d
85,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-6a,35631a,b
85,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-6a,35631a,c
85,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-6a,35631a,e
86,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-7,35631,c
86,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_pn-7,35631,b
86,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_pn-7a,35631a,d
86,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-7a,35631a,a
86,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_pn-7a,35631a,e
87,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-card-2,35631,e
87,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-card-2,35631,a
87,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-card-2a,35631a,b
87,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-card-2a,35631a,d
87,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-card-2a,35631a,c
88,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-1,35631,a
88,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-1,35631,b
88,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-inf-1a,35631a,c
88,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-1a,35631a,d
88,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-1a,35631a,e
89,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-2,35631,d
89,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-2,35631,b
89,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-inf-2a,35631a,c
89,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-2a,35631a,a
89,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-2a,35631a,e
90,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-3,35631,a
90,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-3,35631,e
90,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-inf-3a,35631a,b
90,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-3a,35631a,c
90,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-3a,35631a,d
91,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-4,35631,b
91,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-4,35631,a
91,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-inf-4a,35631a,c
91,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-4a,35631a,e
91,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-4a,35631a,d
92,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-6,35631,e
92,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-inf-6,35631,d
92,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-inf-6a,35631a,a
92,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-6a,35631a,c
92,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-inf-6a,35631a,b
93,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-vte-1,35631,b
93,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-vte-1,35631,a
93,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-vte-1a,35631a,e
93,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-vte-1a,35631a,c
93,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-vte-1a,35631a,d
94,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-vte-2,35631,a
94,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006,al,al_scip-vte-2,35631,b
94,205 marengo streeta,florencea,lauderdalea,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400a,10006a,ala,al_scip-vte-2a,35631a,e
94,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-vte-2a,35631a,c
94,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006a,ala,al_scip-vte-2a,35631a,d
95,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-1,36467,b
95,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-1,36467,a
95,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_ami-1a,36467a,c
95,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-1a,36467a,e
95,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-1a,36467a,d
96,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-2,36467,c
96,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-2,36467,b
96,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_ami-2a,36467a,e
96,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-2a,36467a,a
96,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-2a,36467a,d
97,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-3,36467,c
97,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-3,36467,b
97,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_ami-3a,36467a,a
97,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-3a,36467a,e
97,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_ami-3a,36467a,d
98,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_ami-4,36467,b
