hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,a
200,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-7a,35235,a
201,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-8a,35235,a
202,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_hf-1,35235,a
203,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_hf-2,35235,a
204,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_hf-3,35235,a
205,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_hf-4,35235,a
206,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-2,35235,a
207,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-3b,35235,a
208,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-4,35235,a
209,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-5c,35235,a
210,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-6,35235,a
211,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_pn-7,35235,a
212,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-card-2,35235,a
213,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-inf-1,35235,a
214,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-inf-2,35235,a
215,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-inf-3,35235,a
216,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-inf-4,35235,a
217,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-inf-6,35235,a
218,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-vte-1,35235,a
219,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_scip-vte-2,35235,a
220,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-1,35968,a
221,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-2,35968,a
222,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-3,35968,a
223,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-4,35968,a
224,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-5,35968,a
225,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-7a,35968,a
226,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_ami-8a,35968,a
227,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_hf-1,35968,a
228,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_hf-2,35968,a
229,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_hf-3,35968,a
230,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_hf-4,35968,a
231,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-2,35968,a
232,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-3b,35968,a
233,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-4,35968,a
234,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-5c,35968,a
235,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-6,35968,a
236,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_pn-7,35968,a
237,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-card-2,35968,a
238,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-inf-1,35968,a
239,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-inf-2,35968,a
240,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-inf-3,35968,a
241,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-inf-4,35968,a
242,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-inf-6,35968,a
243,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-vte-1,35968,a
244,200 med center drive,fort payne,de kalb,dekalb regional medical center,voluntary non-profit - church,acute care hospitals,2568453150,10012,al,al_scip-vte-2,35968,a
245,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-1,36784,a
246,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-2,36784,a
247,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-3,36784,a
248,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-4,36784,a
249,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-5,36784,a
250,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-7a,36784,a
251,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_ami-8a,36784,a
252,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_hf-1,36784,a
253,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_hf-2,36784,a
254,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_hf-3,36784,a
255,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_hf-4,36784,a
256,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-2,36784,a
257,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-3b,36784,a
258,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-4,36784,a
259,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-5c,36784,a
260,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-6,36784,a
261,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_pn-7,36784,a
262,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-card-2,36784,a
263,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-inf-1,36784,a
264,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-inf-2,36784,a
265,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-inf-3,36784,a
266,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-inf-4,36784,a
267,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-inf-6,36784,a
268,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-vte-1,36784,a
269,33700 highway 43,thomasville,clarke,southwest alabama medical center,government - federal,acute care hospitals,3346366221,10015,al,al_scip-vte-2,36784,a
270,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-1,35007,a
271,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-2,35007,a
272,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-3,35007,a
273,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-4,35007,a
274,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-5,35007,a
275,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-7a,35007,a
276,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_ami-8a,35007,a
277,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_hf-1,35007,a
278,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_hf-2,35007,a
279,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_hf-3,35007,a
280,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_hf-4,35007,a
281,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-2,35007,a
282,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-3b,35007,a
283,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-4,35007,a
284,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-5c,35007,a
285,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-6,35007,a
286,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_pn-7,35007,a
287,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-card-2,35007,a
288,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-inf-1,35007,a
289,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-inf-2,35007,a
290,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-inf-3,35007,a
291,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-inf-4,35007,a
292,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-inf-6,35007,a
293,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-vte-1,35007,a
294,1000 first street north,alabaster,shelby,shelby baptist medical center,voluntary non-profit - church,acute care hospitals,2056208100,10016,al,al_scip-vte-2,35007,a
295,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-1,35233,a
296,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-2,35233,a
297,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-3,35233,a
298,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-4,35233,a
299,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-5,35233,a
300,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-7a,35233,a
301,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_ami-8a,35233,a
302,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_hf-1,35233,a
303,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_hf-2,35233,a
304,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_hf-3,35233,a
305,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_hf-4,35233,a
306,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-2,35233,a
307,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-3b,35233,a
308,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-4,35233,a
309,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-5c,35233,a
310,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-6,35233,a
311,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_pn-7,35233,a
312,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_cac-2,36201,a
313,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_cac-3,36201,a
314,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-1,36201,a
315,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-2,36201,a
316,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-3,36201,a
317,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-4,36201,a
318,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-5,36201,a
319,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-7a,36201,a
320,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_ami-8a,36201,a
321,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_hf-1,36201,a
322,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_hf-2,36201,a
323,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_hf-3,36201,a
324,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_hf-4,36201,a
325,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-2,36201,a
326,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-3b,36201,a
327,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-4,36201,a
328,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-5c,36201,a
329,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-6,36201,a
330,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_pn-7,36201,a
331,301 east 18th st,anniston,calhoun,stringfellow memorial hospital,proprietary,acute care hospitals,2562358900,10038,al,al_scip-card-2,36201,a
332,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_hf-2,36305,a
333,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_hf-3,36305,a
334,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_hf-4,36305,a
335,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-2,36305,a
336,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-3b,36305,a
337,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-4,36305,a
338,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-5c,36305,a
339,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-6,36305,a
340,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_pn-7,36305,a
341,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-card-2,36305,a
342,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-inf-1,36305,a
343,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-inf-2,36305,a
344,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-inf-3,36305,a
345,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-inf-4,36305,a
346,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-inf-6,36305,a
347,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-vte-1,36305,a
348,4370 west main street,dothan,houston,flowers hospital,proprietary,acute care hospitals,3347935000,10055,al,al_scip-vte-2,36305,a
349,810 st vincents drive,birmingham,jefferson,st vincents hospital,voluntary non-profit - other,acute care hospitals,2059397000,10056,al,al_ami-1,35205,a
350,810 st vincents drive,birmingham,jefferson,st vincents hospital,voluntary non-profit - other,acute care hospitals,2059397000,10056,al,al_ami-2,35205,a
351,810 st vincents drive,birmingham,jefferson,st vincents hospital,voluntary non-profit - other,acute care hospitals,2059397000,10056,al,al_ami-3,35205,a
352,810 st vincents drive,birmingham,jefferson,st vincents hospital,voluntary non-profit - other,acute care hospitals,2059397000,10056,al,al_ami-4,35205,a
353,810 st vincents drive,birmingham,jefferson,st vincents hospital,voluntary non-profit - other,acute care hospitals,2059397000,10056,al,al_ami-5,35205,a
354,1201 7th street se,decatur,morgan,decatur general hospital,government - hospital district or authority,acute care hospitals,2563412000,10085,al,al_scip-vte-2,35609,a
355,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-1,35594,a
356,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-2,35594,a
357,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-3,35594,a
358,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-4,35594,a
359,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-5,35594,a
360,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-7a,35594,a
361,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_ami-8a,35594,a
362,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_hf-1,35594,a
363,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_hf-2,35594,a
364,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_hf-3,35594,a
365,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_hf-4,35594,a
366,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-2,35594,a
367,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-3b,35594,a
368,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-4,35594,a
369,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-5c,35594,a
370,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-6,35594,a
371,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_pn-7,35594,a
372,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-card-2,35594,a
373,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-inf-1,35594,a
374,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-inf-2,35594,a
375,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-inf-3,35594,a
376,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-inf-4,35594,a
377,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-inf-6,35594,a
378,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-vte-1,35594,a
379,1530 u s highway 43,winfield,marion,northwest medical center,proprietary,acute care hospitals,2054877736,10086,al,al_scip-vte-2,35594,a
380,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-1,36617,a
381,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-2,36617,a
382,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-3,36617,a
383,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-4,36617,a
384,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-5,36617,a
385,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-7a,36617,a
386,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_ami-8a,36617,a
387,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_hf-1,36617,a
388,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_hf-2,36617,a
389,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_hf-3,36617,a
390,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_hf-4,36617,a
391,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_pn-2,36617,a
392,2451 fillingim street,mobile,mobile,univ of south alabama medical center,government - state,acute care hospitals,2514717110,10087,al,al_pn-3b,36617,a
393,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-2,36067,a
394,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-3,36067,a
395,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-4,36067,a
396,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-5,36067,a
397,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-7a,36067,a
398,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_ami-8a,36067,a
399,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_hf-1,36067,a
400,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_hf-2,36067,a
401,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_hf-3,36067,a
402,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_hf-4,36067,a
403,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_pn-2,36067,a
404,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_pn-3b,36067,a
405,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_pn-4,36067,a
406,124 s memorial dr,prattville,autauga,prattville baptist hospital,voluntary non-profit - private,acute care hospitals,3343614267,10108,al,al_pn-5c,36067,a
