hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode
112,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-card-2a,36467a
112,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-card-2a,36467a
113,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-1,36467
113,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-1,36467
113,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-inf-1a,36467a
113,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-1a,36467a
113,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-1a,36467a
114,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-2,36467
114,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-2,36467
114,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-inf-2a,36467a
114,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-2a,36467a
114,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-2a,36467a
115,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-3,36467
115,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-3,36467
115,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-inf-3a,36467a
115,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-3a,36467a
115,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-3a,36467a
116,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-4,36467
116,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-4,36467
116,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-inf-4a,36467a
116,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-4a,36467a
116,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-4a,36467a
117,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-6,36467
117,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-inf-6,36467
117,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-inf-6a,36467a
117,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-6a,36467a
117,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-inf-6a,36467a
118,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-vte-1,36467
118,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-vte-1,36467
118,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-vte-1a,36467a
118,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-vte-1a,36467a
118,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-vte-1a,36467a
119,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-vte-2,36467
119,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007,al,al_scip-vte-2,36467
119,702 n main sta,oppa,covingtona,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541a,10007a,ala,al_scip-vte-2a,36467a
119,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-vte-2a,36467a
119,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007a,ala,al_scip-vte-2a,36467a
120,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-1,36049
120,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-1,36049
120,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-1a,36049a
120,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-1a,36049a
120,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-1a,36049a
121,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-2,36049
121,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-2,36049
121,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-2a,36049a
121,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-2a,36049a
121,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-2a,36049a
122,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-3,36049
122,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-3,36049
122,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-3a,36049a
122,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-3a,36049a
122,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-3a,36049a
123,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-4,36049
123,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-4,36049
123,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-4a,36049a
123,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-4a,36049a
123,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-4a,36049a
124,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-5,36049
124,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-5,36049
124,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-5a,36049a
124,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-5a,36049a
124,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-5a,36049a
125,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-7a,36049
125,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-7a,36049
125,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-7aa,36049a
125,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-7aa,36049a
125,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-7aa,36049a
126,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-8a,36049
126,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_ami-8a,36049
126,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_ami-8aa,36049a
126,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-8aa,36049a
126,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_ami-8aa,36049a
127,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-1,36049
127,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-1,36049
127,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_hf-1a,36049a
127,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-1a,36049a
127,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-1a,36049a
128,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-2,36049
128,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-2,36049
128,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_hf-2a,36049a
128,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-2a,36049a
128,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-2a,36049a
129,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-3,36049
129,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-3,36049
129,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_hf-3a,36049a
129,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-3a,36049a
129,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-3a,36049a
130,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-4,36049
130,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_hf-4,36049
130,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_hf-4a,36049a
130,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-4a,36049a
130,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_hf-4a,36049a
131,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-2,36049
131,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-2,36049
131,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-2a,36049a
131,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-2a,36049a
131,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-2a,36049a
132,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-3b,36049
132,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-3b,36049
132,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-3ba,36049a
132,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-3ba,36049a
132,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-3ba,36049a
133,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-4,36049
133,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-4,36049
133,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-4a,36049a
133,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-4a,36049a
133,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-4a,36049a
134,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-5c,36049
134,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-5c,36049
134,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-5ca,36049a
134,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-5ca,36049a
134,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-5ca,36049a
135,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-6,36049
135,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-6,36049
135,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-6a,36049a
135,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-6a,36049a
135,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-6a,36049a
136,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-7,36049
136,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_pn-7,36049
136,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_pn-7a,36049a
136,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-7a,36049a
136,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_pn-7a,36049a
137,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-card-2,36049
137,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-card-2,36049
137,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-card-2a,36049a
137,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-card-2a,36049a
137,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-card-2a,36049a
138,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-1,36049
138,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-1,36049
138,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-inf-1a,36049a
138,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-1a,36049a
138,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-1a,36049a
139,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-2,36049
139,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-2,36049
139,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-inf-2a,36049a
139,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-2a,36049a
139,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-2a,36049a
140,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-3,36049
140,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-3,36049
140,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-inf-3a,36049a
140,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-3a,36049a
140,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-3a,36049a
141,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-4,36049
141,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-4,36049
141,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-inf-4a,36049a
141,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-4a,36049a
141,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-4a,36049a
142,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-6,36049
142,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-inf-6,36049
142,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-inf-6a,36049a
142,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-6a,36049a
142,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-inf-6a,36049a
143,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-vte-1,36049
143,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-vte-1,36049
143,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-vte-1a,36049a
143,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-vte-1a,36049a
143,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-vte-1a,36049a
144,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-vte-2,36049
144,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008,al,al_scip-vte-2,36049
144,101 hospital circlea,luvernea,crenshawa,crenshaw community hospital,government - federal,acute care hospitals,3343353374a,10008a,ala,al_scip-vte-2a,36049a
144,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-vte-2a,36049a
144,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008a,ala,al_scip-vte-2a,36049a
145,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-1,35640
145,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-1,35640
145,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-1a,35640a
145,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-1a,35640a
145,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-1a,35640a
146,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-2,35640
146,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-2,35640
146,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-2a,35640a
146,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-2a,35640a
146,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-2a,35640a
147,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-3,35640
147,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-3,35640
147,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-3a,35640a
147,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-3a,35640a
147,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-3a,35640a
148,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-4,35640
148,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-4,35640
148,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-4a,35640a
148,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-4a,35640a
148,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-4a,35640a
149,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-5,35640
149,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-5,35640
149,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-5a,35640a
149,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-5a,35640a
149,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-5a,35640a
150,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-7a,35640
150,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-7a,35640
150,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-7aa,35640a
150,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-7aa,35640a
150,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-7aa,35640a
151,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-8a,35640
151,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_ami-8a,35640
151,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_ami-8aa,35640a
151,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-8aa,35640a
151,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_ami-8aa,35640a
152,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_hf-1,35640
152,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_hf-1,35640
152,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009a,ala,al_hf-1a,35640a
152,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_hf-1a,35640a
152,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009a,ala,al_hf-1a,35640a
153,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_hf-2,35640
153,201 pine street northwesta,hartsellea,morgana,hartselle medical center,proprietary,acute care hospitals,2567736511a,10009,al,al_hf-2,35640
