flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
2011-12-11-AA-4198-ORD-CLE,December 11- 2011               10:40 AM    ,December 11- 2011               10:36 AM    , G8,December 11- 2011               12:55 PM    ,December 11- 2011               12:43 PM    , A1    
2011-12-11-AA-400-DFW-JFK,December 11- 2011               10:40 AM    ,December 11- 2011               10:41 AM    , C6,December 11- 2011               02:59 PM    ,December 11- 2011               02:55 PM    , 34    
2011-12-11-AA-1886-BOS-MIA,December 11- 2011               10:45 AM    ,December 11- 2011               10:45 AM    , B31,December 11- 2011               02:20 PM    ,December 11- 2011               02:03 PM    , D48    
2011-12-11-AA-1917-JFK-MCO,December 11- 2011               02:55 PM    ,December 11- 2011               02:55 PM    , 46,December 11- 2011               05:55 PM    ,December 11- 2011               05:48 PM    , 16    
2011-12-11-AA-3809-PHX-LAX,December 11- 2011               06:00 AM    ,December 11- 2011               07:23 AM    , 2,December 11- 2011               06:40 AM    ,December 11- 2011               07:43 AM    , 44J    
2011-12-11-AA-2957-DFW-CVG,December 11- 2011               07:55 AM    ,December 11- 2011               07:55 AM    , B18,December 11- 2011               11:05 AM    ,December 11- 2011               10:58 AM    , 3    
2011-12-11-UA-1500-IAH-GUA,Sun- Dec 11 8:55 AM,Sun- Dec 11 9:19 AM            Delayed,E17,Sun- Dec 11 11:45 AM,Sun- Dec 11 11:52 AM,15
2011-12-11-UA-3515-IAD-MSP,Sun- Dec 11 8:15 AM,Sun- Dec 11 8:13 AM,D20,Sun- Dec 11 10:06 AM,Sun- Dec 11 9:52 AM,E8
2011-12-11-UA-664-ORD-PHL,Sun- Dec 11 1:20 PM,Sun- Dec 11 1:19 PM,B5,Sun- Dec 11 4:25 PM,Sun- Dec 11 4:15 PM,D9
2011-12-11-UA-414-LAX-SFO,Sun- Dec 11 6:00 AM,Sun- Dec 11 6:00 AM,73,Sun- Dec 11 7:23 AM,Sun- Dec 11 7:20 AM,88
2011-12-11-UA-257-JFK-SFO,Sun- Dec 11 2:30 PM,Sun- Dec 11 2:27 PM,7,Sun- Dec 11 6:10 PM,Sun- Dec 11 5:38 PM,81
2011-12-11-UA-62-IAH-EWR,Sun- Dec 11 2:30 PM,Sun- Dec 11 3:05 PM,C-44,Sun- Dec 11 7:03 PM,Sun- Dec 11 7:27 PM,C75
2011-12-11-UA-843-LAX-ORD,Sun- Dec 11 1:50 PM,Sun- Dec 11 1:58 PM,73,Sun- Dec 11 7:55 PM,Sun- Dec 11 7:32 PM,C19
2011-12-11-UA-248-PHX-ORD,Sun- Dec 11 12:47 PM,Sun- Dec 11 12:47 PM,3,Sun- Dec 11 5:15 PM,Sun- Dec 11 5:03 PM,B10
2011-12-11-UA-397-JFK-SFO,Sun- Dec 11 8:00 AM,Sun- Dec 11 7:53 AM,10,Sun- Dec 11 11:49 AM,Sun- Dec 11 10:56 AM,81
2011-12-11-UA-2704-DTW-PHX,Sun- Dec 11 11:15 AM,Sun- Dec 11 11:15 AM,D14,Sun- Dec 11 1:40 PM,Sun- Dec 11 1:20 PM,A6
2011-12-11-UA-3373-IAD-PHL,Sun- Dec 11 8:25 AM,Sun- Dec 11 9:30 AM,C22,Sun- Dec 11 9:20 AM,Sun- Dec 11 10:22 AM,D7
2011-12-11-UA-2906-PHL-MCO,Sun- Dec 11 3:50 PM,Sun- Dec 11 3:50 PM            Delayed,B13,Sun- Dec 11 6:23 PM,Sun- Dec 11 6:06 PM,58
2011-12-11-UA-938-DEN-ORD,Sun- Dec 11 4:16 PM,Sun- Dec 11 4:18 PM,B42,Sun- Dec 11 7:34 PM,Sun- Dec 11 7:30 PM,C15
2011-12-11-UA-3099-PHX-PHL,Sun- Dec 11 11:55 AM,Sun- Dec 11 12:04 PM,B13,Sun- Dec 11 6:17 PM,Sun- Dec 11 6:11 PM,A16
2011-12-11-UA-3925-IAD-ORF,Sun- Dec 11 8:42 AM,Sun- Dec 11 8:37 AM,A2A,Sun- Dec 11 9:55 AM,Sun- Dec 11 9:31 AM,--
2011-12-11-UA-5487-SFO-MRY,Sun- Dec 11 10:39 AM,Sun- Dec 11 10:35 AM,87A,Sun- Dec 11 11:19 AM,Sun- Dec 11 11:13 AM,--
2011-12-11-UA-3050-PHX-CLT,Sun- Dec 11 11:05 AM,Sun- Dec 11 11:05 AM,A3,Sun- Dec 11 4:57 PM,Sun- Dec 11 4:55 PM,B7
2011-12-11-UA-828-SFO-ORD,Sun- Dec 11 11:55 PM,Sun- Dec 11 11:55 PM,70,Mon- Dec 12 5:55 AM,Mon- Dec 12 5:55 AM,C22
2011-12-11-UA-2830-MCO-CLT,Sun- Dec 11 3:27 PM,Sun- Dec 11 3:33 PM,58,Sun- Dec 11 5:05 PM,Sun- Dec 11 5:05 PM,C12
2011-12-11-UA-37-EWR-MCO,Sun- Dec 11 1:29 PM,Sun- Dec 11 1:52 PM            Delayed,C73,Sun- Dec 11 4:17 PM,Sun- Dec 11 4:34 PM,39
2011-12-11-UA-37-EDI-EWR,Sun- Dec 11 9:05 AM,Sun- Dec 11 8:58 AM,--,Sun- Dec 11 11:53 AM,Sun- Dec 11 11:51 AM,B60
2011-12-11-UA-2708-EWR-CLT,Sun- Dec 11 2:55 PM,Sun- Dec 11 2:55 PM,A37,Sun- Dec 11 4:53 PM,Sun- Dec 11 4:42 PM,C19
2011-12-11-UA-233-LAX-JFK,Sun- Dec 11 4:20 PM,Sun- Dec 11 4:20 PM,72,Mon- Dec 12 12:29 AM,Mon- Dec 12 12:29 AM,6
2011-12-11-UA-2726-FLL-PHL,Sun- Dec 11 4:00 PM,Sun- Dec 11 4:00 PM,E3,Sun- Dec 11 6:46 PM,Sun- Dec 11 6:28 PM,B5
2011-12-11-UA-2945-PHL-CLT,Sun- Dec 11 12:00 AM,Sun- Dec 11 5:12 PM            Delayed,B11,Sun- Dec 11 1:45 PM,Sun- Dec 11 1:46 PM,B8
2011-12-11-UA-6273-YYC-SFO,Sun- Dec 11 7:35 AM,Sun- Dec 11 7:20 AM,--,Sun- Dec 11 9:43 AM,Sun- Dec 11 9:55 AM,76B
2011-12-11-UA-2314-ATL-PHL,Sun- Dec 11 2:55 PM,Sun- Dec 11 2:55 PM,D23,Sun- Dec 11 5:00 PM,Sun- Dec 11 4:48 PM,A14
2011-12-11-UA-382-IAD-LAX,Sun- Dec 11 12:30 PM,Sun- Dec 11 12:53 PM            Delayed,D7,Sun- Dec 11 3:19 PM,Sun- Dec 11 3:27 PM,75B
2011-12-11-UA-858-PVG-SFO,Sun- Dec 11 1:45 PM,Sun- Dec 11 1:40 PM,75,Sun- Dec 11 8:27 AM,Sun- Dec 11 7:50 AM,98
2011-12-11-UA-854-SFO-IAH,Sun- Dec 11 7:53 AM,Sun- Dec 11 7:51 AM,85,Sun- Dec 11 1:35 PM,Sun- Dec 11 1:11 PM,C16
2011-12-12-AA-1221-MCO-ORD,December 12- 2011               08:00 PM    ,December 12- 2011               07:57 PM    , 15,December 12- 2011               09:50 PM    ,December 12- 2011               09:48 PM    , K1    
2011-12-12-AA-4307-ORD-DTW,December 12- 2011               06:45 PM    ,December 12- 2011               06:45 PM    , G17,December 12- 2011               09:10 PM    ,December 12- 2011               09:05 PM    , D28    
2011-12-12-AA-616-DFW-DTW,December 12- 2011               09:05 AM    ,December 12- 2011               09:35 AM    , C14,December 12- 2011               12:35 PM    ,December 12- 2011               01:00 PM    , D32    
2011-12-12-AA-431-MIA-SFO,December 12- 2011               08:35 AM    ,December 12- 2011               08:30 AM    , D22,December 12- 2011               11:50 AM    ,December 12- 2011               11:32 AM    , 57    
2011-12-12-AA-3756-ORD-SLC,December 12- 2011               12:15 PM    ,December 12- 2011               12:07 PM    , H3A,December 12- 2011               02:45 PM    ,December 12- 2011               02:33 PM    , A3    
2011-12-12-AA-3804-PHL-ORD,December 12- 2011               02:35 PM    ,December 12- 2011               02:30 PM    , A7,December 12- 2011               04:05 PM    ,December 12- 2011               03:37 PM    , G13    
2011-12-12-AA-1664-MIA-ATL,December 12- 2011               10:15 AM    ,December 12- 2011               10:24 AM    , D10,December 12- 2011               12:10 PM    ,December 12- 2011               12:20 PM    , T11    
2011-12-12-AA-789-ORD-DEN,December 12- 2011               01:05 PM    ,December 12- 2011               01:03 PM    , H10,December 12- 2011               02:35 PM    ,December 12- 2011               02:31 PM    , A49    
2011-12-12-AA-1733-ORD-PHX,December 12- 2011               07:45 PM    ,December 12- 2011               07:46 PM    , K9,December 12- 2011               10:30 PM    ,December 12- 2011     , 6    
2011-12-12-AA-4277-CVG-JFK,December 12- 2011               12:10 PM    ,December 12- 2011               12:05 PM    , 1,December 12- 2011               02:15 PM    ,December 12- 2011               01:56 PM    , 31D    
2011-12-12-AA-2312-DFW-DTW,December 12- 2011               08:25 PM    ,December 12- 2011     , C15,December 12- 2011               11:50 PM    ,December 12- 2011     , D32    
2011-12-12-AA-85-JFK-SFO,December 12- 2011               03:05 PM    ,December 12- 2011               03:05 PM    , 45,December 12- 2011               06:30 PM    ,December 12- 2011               06:39 PM    , 58B    
2011-12-12-AA-404-MIA-MCO,December 12- 2011               06:45 AM    ,December 12- 2011               06:52 AM    , E5,December 12- 2011               07:45 AM    ,December 12- 2011               07:49 AM    , 15    
2011-12-12-AA-446-DFW-PHL,December 12- 2011               11:50 AM    ,December 12- 2011               11:50 AM    , D20,December 12- 2011               03:50 PM    ,December 12- 2011               03:49 PM    , A9    
2011-12-12-AA-2268-PHX-ORD,December 12- 2011               07:15 AM    ,December 12- 2011               07:11 AM    , 6,December 12- 2011               11:35 AM    ,December 12- 2011               10:59 AM    , H11A    
2011-12-12-AA-4344-ORD-DTW,December 12- 2011               11:45 AM    ,December 12- 2011               11:41 AM    , G16,December 12- 2011               02:00 PM    ,December 12- 2011               01:45 PM    , D28    
2011-12-12-AA-484-DFW-MIA,December 12- 2011               04:15 PM    ,December 12- 2011               04:16 PM    , D25,December 12- 2011               07:55 PM    ,December 12- 2011               08:03 PM    , D5    
2011-12-12-AA-3979-CVG-ORD,December 12- 2011               07:30 AM    ,December 12- 2011               07:30 AM    , 3,December 12- 2011               08:00 AM    ,December 12- 2011               08:18 AM    , G8    
2011-12-12-AA-3063-SLC-LAX,December 12- 2011               08:20 PM    ,December 12- 2011               08:13 PM    , A3,December 12- 2011               09:20 PM    ,December 12- 2011     , 44G    
2011-12-12-AA-3859-IAH-ORD,December 12- 2011               07:10 AM    ,December 12- 2011               07:04 AM    , A29,December 12- 2011               09:40 AM    ,December 12- 2011               09:17 AM    , G4    
2011-12-12-AA-3842-MSP-ORD,December 12- 2011               06:00 AM    ,December 12- 2011               05:58 AM    , E14,December 12- 2011               07:30 AM    ,December 12- 2011               07:16 AM    , G13    
2011-12-12-AA-1544-SAN-ORD,December 12- 2011               11:25 AM    ,December 12- 2011               11:44 AM    , 27,December 12- 2011               05:25 PM    ,December 12- 2011               05:14 PM    , H6    
2011-12-12-AA-649-ORD-SNA,December 12- 2011               01:30 PM    ,December 12- 2011     , H14,December 12- 2011               03:50 PM    ,December 12- 2011     , 7    
2011-12-12-AA-1640-MIA-MCO,December 12- 2011               06:30 PM    ,December 12- 2011     , D45,December 12- 2011               07:25 PM    ,December 12- 2011     , 14    
2011-12-12-AA-518-MIA-JFK,December 12- 2011               06:30 AM    ,December 12- 2011               06:45 AM    , D25,December 12- 2011               09:15 AM    ,December 12- 2011               09:30 AM    , 5    
2011-12-12-AA-2525-DFW-MIA,December 12- 2011               07:25 AM    ,December 12- 2011               07:41 AM    , D22A,December 12- 2011               11:10 AM    ,December 12- 2011               11:19 AM    , D1    
2011-12-12-AA-1279-DFW-PHX,December 12- 2011               01:00 PM    ,December 12- 2011               12:57 PM    , C39,December 12- 2011               02:35 PM    ,December 12- 2011               02:42 PM    , 4    
2011-12-12-AA-1522-SFO-ORD,December 12- 2011               11:55 PM    ,December 12- 2011     , 57,December 13- 2011               05:50 AM    ,December 13- 2011     , H9    
2011-12-12-AA-1434-DFW-MCO,December 12- 2011               07:15 AM    ,December 12- 2011               07:12 AM    , D18,December 12- 2011               10:35 AM    ,December 12- 2011               10:38 AM    , 17    
2011-12-12-AA-59-JFK-SFO,December 12- 2011               07:10 AM    ,December 12- 2011               07:27 AM    , 45,December 12- 2011               10:45 AM    ,December 12- 2011               10:43 AM    , 58B    
2011-12-12-AA-415-BOS-ORD,December 12- 2011               08:35 AM    ,December 12- 2011               08:32 AM    , B33,December 12- 2011               10:40 AM    ,December 12- 2011               10:03 AM    , K5    
2011-12-12-AA-222-LAX-BOS,December 12- 2011               07:10 AM    ,December 12- 2011               07:04 AM    , 47B,December 12- 2011               03:30 PM    ,December 12- 2011               03:07 PM    , B33    
2011-12-12-AA-3823-LAX-DEN,December 12- 2011               09:00 PM    ,December 12- 2011     , 44I,December 13- 2011               12:15 AM    ,December 13- 2011     , A49    
2011-12-12-AA-1165-JFK-MIA,December 12- 2011               06:59 AM    ,December 12- 2011               06:56 AM    , 36,December 12- 2011               10:34 AM    ,December 12- 2011               09:50 AM    , D21    
2011-12-12-AA-3786-IAH-ORD,December 12- 2011               04:00 PM    ,December 12- 2011               03:53 PM    , A29,December 12- 2011               06:40 PM    ,December 12- 2011               06:17 PM    , H3A    
2011-12-12-AA-4330-CVG-ORD,December 12- 2011               03:35 PM    ,December 12- 2011               03:28 PM    , 5,December 12- 2011               04:00 PM    ,December 12- 2011               03:37 PM    , G19    
2011-12-12-AA-3468-CVG-MIA,December 12- 2011               07:00 AM    ,December 12- 2011               06:53 AM    , 3,December 12- 2011               09:55 AM    ,December 12- 2011               09:51 AM    , D53    
2011-12-12-AA-204-LAX-MCO,December 12- 2011               11:25 PM    ,December 12- 2011     , 46A,December 13- 2011               06:55 AM    ,December 13- 2011     , TBA    
2011-12-12-AA-466-IAH-MIA,December 12- 2011               06:00 AM    ,December 12- 2011               06:09 AM    , A27,December 12- 2011               09:20 AM    ,December 12- 2011               09:21 AM    , D42    
2011-12-12-AA-3-JFK-LAX,December 12- 2011               12:00 PM    ,December 12- 2011               11:53 AM    , 42,December 12- 2011               03:15 PM    ,December 12- 2011               03:16 PM    , 48B    
2011-12-12-AA-1007-MIA-PHX,December 12- 2011               04:55 PM    ,December 12- 2011               05:21 PM    , D19,December 12- 2011               08:05 PM    ,December 12- 2011               08:34 PM    , 6    
2011-12-12-AA-271-MIA-LAX,December 12- 2011               11:35 AM    ,December 12- 2011               11:34 AM    , D17,December 12- 2011               02:25 PM    ,December 12- 2011               02:28 PM    , 46A    
2011-12-12-AA-643-MIA-ORD,December 12- 2011               07:10 AM    ,December 12- 2011               07:06 AM    , D1,December 12- 2011               09:35 AM    ,December 12- 2011               09:17 AM    , H15    
2011-12-12-AA-4198-ORD-CLE,December 12- 2011               10:40 AM    ,December 12- 2011               10:34 AM    , G6B,December 12- 2011               12:55 PM    ,December 12- 2011               12:46 PM    , A1    
2011-12-12-AA-400-DFW-JFK,December 12- 2011               10:40 AM    ,December 12- 2011               10:43 AM    , D25,December 12- 2011               02:59 PM    ,December 12- 2011               02:51 PM    , 36    
2011-12-12-AA-1886-BOS-MIA,December 12- 2011               10:45 AM    ,December 12- 2011               11:19 AM    , B35,December 12- 2011               02:20 PM    ,December 12- 2011               02:35 PM    , D23    
2011-12-12-AA-1917-JFK-MCO,December 12- 2011               02:55 PM    ,December 12- 2011               02:54 PM    , 1,December 12- 2011               05:55 PM    ,December 12- 2011               05:44 PM    , 15    
2011-12-12-AA-3809-PHX-LAX,December 12- 2011               06:00 AM    ,December 12- 2011               05:58 AM    , 2,December 12- 2011               06:40 AM    ,December 12- 2011               06:20 AM    , 44F    
2011-12-12-AA-2957-DFW-CVG,December 12- 2011               07:55 AM    ,December 12- 2011               07:52 AM    , B12B,December 12- 2011               11:05 AM    ,December 12- 2011               11:00 AM    , 3    
2011-12-12-UA-1500-IAH-GUA,Mon- Dec 12 8:55 AM,Mon- Dec 12 9:13 AM            Delayed,E8,Mon- Dec 12 11:45 AM,Mon- Dec 12 11:45 AM,15
2011-12-12-UA-3515-IAD-MSP,Mon- Dec 12 8:17 AM,Mon- Dec 12 8:30 AM,D14,Mon- Dec 12 10:08 AM,Mon- Dec 12 10:04 AM,E6
2011-12-12-UA-664-ORD-PHL,Mon- Dec 12 1:33 PM,Mon- Dec 12 1:29 PM,C29,Mon- Dec 12 4:31 PM,Mon- Dec 12 4:35 PM,D13
2011-12-12-UA-414-LAX-SFO,Mon- Dec 12 6:00 AM,Mon- Dec 12 5:59 AM,72,Mon- Dec 12 7:23 AM,Mon- Dec 12 7:12 AM,90
2011-12-12-UA-257-JFK-SFO,Mon- Dec 12 2:30 PM,Mon- Dec 12 2:25 PM,9,Mon- Dec 12 6:15 PM,Mon- Dec 12 5:38 PM,82
2011-12-12-UA-62-IAH-EWR,Mon- Dec 12 2:30 PM,Mon- Dec 12 2:28 PM,C-39,Mon- Dec 12 7:03 PM,Mon- Dec 12 6:49 PM,C123
2011-12-12-UA-843-LAX-ORD,Mon- Dec 12 1:55 PM,Mon- Dec 12 2:20 PM,75B,Mon- Dec 12 7:53 PM,Mon- Dec 12 7:52 PM,C25
2011-12-12-UA-248-PHX-ORD,Mon- Dec 12 12:57 PM,Mon- Dec 12 12:57 PM            On Time,3,Mon- Dec 12 5:15 PM,Mon- Dec 12 5:02 PM,B17
2011-12-12-UA-397-JFK-SFO,Mon- Dec 12 8:00 AM,Mon- Dec 12 7:58 AM,7,Mon- Dec 12 11:55 AM,Mon- Dec 12 11:10 AM,83
2011-12-12-UA-2704-DTW-PHX,Mon- Dec 12 11:15 AM,Mon- Dec 12 11:15 AM,D25,Mon- Dec 12 1:40 PM,Mon- Dec 12 2:03 PM,A6
2011-12-12-UA-2515-DFW-CLT,Mon- Dec 12 7:05 AM,Mon- Dec 12 7:05 AM,E35,Mon- Dec 12 10:31 AM,Mon- Dec 12 10:31 AM,D13
2011-12-12-UA-3373-IAD-PHL,Mon- Dec 12 8:29 AM,Mon- Dec 12 8:40 AM,A5C,Mon- Dec 12 9:24 AM,Mon- Dec 12 10:11 AM,D7
2011-12-12-UA-2906-PHL-MCO,Mon- Dec 12 3:50 PM,Mon- Dec 12 3:50 PM            Delayed,B13,Mon- Dec 12 6:23 PM,Mon- Dec 12 6:10 PM,58
2011-12-12-UA-938-DEN-ORD,Mon- Dec 12 4:16 PM,Mon- Dec 12 4:17 PM,B42,Mon- Dec 12 7:35 PM,Mon- Dec 12 7:15 PM,C26
2011-12-12-UA-3099-PHX-PHL,Mon- Dec 12 11:55 AM,Mon- Dec 12 11:55 AM,A13,Mon- Dec 12 6:17 PM,Mon- Dec 12 6:12 PM,A12
2011-12-12-UA-3925-IAD-ORF,Mon- Dec 12 8:42 AM,Mon- Dec 12 8:38 AM,A2G,Mon- Dec 12 9:55 AM,Mon- Dec 12 9:29 AM,--
2011-12-12-UA-5487-SFO-MRY,Mon- Dec 12 10:39 AM,Mon- Dec 12 10:39 AM,76B,Mon- Dec 12 11:19 AM,Mon- Dec 12 11:30 AM,--
2011-12-12-UA-3050-PHX-CLT,Mon- Dec 12 11:05 AM,Mon- Dec 12 11:05 AM,A11,Mon- Dec 12 4:57 PM,Mon- Dec 12 4:47 PM,B5
2011-12-12-UA-828-SFO-ORD,Mon- Dec 12 11:08 PM,Mon- Dec 12 11:08 PM            On Time,75,Tue- Dec 13 5:11 AM,Tue- Dec 13 5:11 AM,C31
2011-12-12-UA-2830-MCO-CLT,Mon- Dec 12 3:27 PM,Mon- Dec 12 3:27 PM,58,Mon- Dec 12 5:05 PM,Mon- Dec 12 5:21 PM,C10
2011-12-12-UA-37-EWR-MCO,Mon- Dec 12 1:29 PM,Mon- Dec 12 1:26 PM            On Time,C135,Mon- Dec 12 4:17 PM,Mon- Dec 12 4:06 PM,36
2011-12-12-UA-37-EDI-EWR,Mon- Dec 12 9:05 AM,Mon- Dec 12 9:01 AM,--,Mon- Dec 12 11:53 AM,Mon- Dec 12 11:31 AM,B65
2011-12-12-UA-2708-EWR-CLT,Mon- Dec 12 2:55 PM,Mon- Dec 12 2:55 PM,A37,Mon- Dec 12 4:53 PM,Mon- Dec 12 4:34 PM,C4
2011-12-12-UA-233-LAX-JFK,Mon- Dec 12 4:25 PM,Mon- Dec 12 4:25 PM,76,Tue- Dec 13 12:29 AM,Tue- Dec 13 12:29 AM,7
2011-12-12-UA-2726-FLL-PHL,Mon- Dec 12 4:00 PM,Mon- Dec 12 4:00 PM,E3,Mon- Dec 12 6:46 PM,Mon- Dec 12 6:18 PM,C30
2011-12-12-UA-2945-PHL-CLT,Mon- Dec 12 12:00 AM,Mon- Dec 12 5:11 AM,B9,Mon- Dec 12 1:45 PM,Mon- Dec 12 1:35 PM,C15
2011-12-12-UA-6273-YYC-SFO,Mon- Dec 12 7:35 AM,Mon- Dec 12 7:29 AM,--,Mon- Dec 12 9:43 AM,Mon- Dec 12 9:20 AM,77A
2011-12-12-UA-2314-ATL-PHL,Mon- Dec 12 2:55 PM,Mon- Dec 12 3:03 PM,D23,Mon- Dec 12 5:00 PM,Mon- Dec 12 5:03 PM,C26
2011-12-12-UA-382-IAD-LAX,Mon- Dec 12 12:30 PM,Mon- Dec 12 12:27 PM            On Time,C11,Mon- Dec 12 3:19 PM,Mon- Dec 12 3:03 PM,75B
2011-12-12-UA-858-PVG-SFO,Mon- Dec 12 1:45 PM,Mon- Dec 12 1:56 PM,71,Mon- Dec 12 8:27 AM,Mon- Dec 12 8:28 AM,92
2011-12-12-UA-854-SFO-IAH,Mon- Dec 12 7:53 AM,Mon- Dec 12 7:47 AM,81,Mon- Dec 12 1:39 PM,Mon- Dec 12 1:30 PM,--
2011-12-13-AA-1221-MCO-ORD,December 13- 2011               08:00 PM    ,December 13- 2011               07:59 PM    , 15,December 13- 2011               09:50 PM    ,December 13- 2011               09:57 PM    , K2    
2011-12-13-AA-4307-ORD-DTW,December 13- 2011               06:45 PM    ,December 13- 2011               06:42 PM    , G19A,December 13- 2011               09:10 PM    ,December 13- 2011               08:55 PM    , D28    
2011-12-13-AA-616-DFW-DTW,December 13- 2011               09:05 AM    ,December 13- 2011               09:03 AM    , C15,December 13- 2011               12:35 PM    ,December 13- 2011               12:29 PM    , D32    
2011-12-13-AA-431-MIA-SFO,December 13- 2011               08:35 AM    ,December 13- 2011               08:33 AM    , D3,December 13- 2011               11:50 AM    ,December 13- 2011               11:27 AM    , 57    
2011-12-13-AA-3756-ORD-SLC,December 13- 2011               12:15 PM    ,December 13- 2011               12:15 PM    , G13,December 13- 2011               02:45 PM    ,December 13- 2011               02:36 PM    , A3    
2011-12-13-AA-2050-ORD-MIA,December 13- 2011               10:40 AM    ,December 13- 2011               10:38 AM    , H15,December 13- 2011               02:45 PM    ,December 13- 2011               02:20 PM    , D11    
2011-12-13-AA-3804-PHL-ORD,December 13- 2011               02:35 PM    ,December 13- 2011               02:28 PM    , A7,December 13- 2011               04:05 PM    ,December 13- 2011               03:44 PM    , G13    
2011-12-13-AA-1664-MIA-ATL,December 13- 2011               10:15 AM    ,December 13- 2011               10:17 AM    , D46,December 13- 2011               12:10 PM    ,December 13- 2011               12:08 PM    , T11    
2011-12-13-AA-789-ORD-DEN,December 13- 2011               01:05 PM    ,December 13- 2011               01:02 PM    , K12,December 13- 2011               02:35 PM    ,December 13- 2011               02:39 PM    , A49    
2011-12-13-AA-1733-ORD-PHX,December 13- 2011               07:45 PM    ,December 13- 2011               08:02 PM    , K5,December 13- 2011               10:30 PM    ,December 13- 2011     , 6    
2011-12-13-AA-4277-CVG-JFK,December 13- 2011               12:10 PM    ,December 13- 2011               12:06 PM    , 1,December 13- 2011               02:15 PM    ,December 13- 2011               01:49 PM    , 31C    
2011-12-13-AA-2312-DFW-DTW,December 13- 2011               08:25 PM    ,December 13- 2011     , C15,December 13- 2011               11:50 PM    ,December 13- 2011     , D32    
2011-12-13-AA-85-JFK-SFO,December 13- 2011               03:05 PM    ,December 13- 2011               03:05 PM    , 2,December 13- 2011               06:30 PM    ,December 13- 2011               06:36 PM    , 56A    
2011-12-13-AA-404-MIA-MCO,December 13- 2011               06:45 AM    ,December 13- 2011               06:40 AM    , E5,December 13- 2011               07:45 AM    ,December 13- 2011               07:40 AM    , 14    
2011-12-13-AA-446-DFW-PHL,December 13- 2011               11:50 AM    ,December 13- 2011               11:49 AM    , D40,December 13- 2011               03:50 PM    ,December 13- 2011               03:44 PM    , A9    
2011-12-13-AA-2268-PHX-ORD,December 13- 2011               07:15 AM    ,December 13- 2011               07:11 AM    , 6,December 13- 2011               11:35 AM    ,December 13- 2011               11:02 AM    , H15    
2011-12-13-AA-4344-ORD-DTW,December 13- 2011               11:45 AM    ,December 13- 2011               11:38 AM    , G1B,December 13- 2011               02:00 PM    ,December 13- 2011               01:45 PM    , D28    
2011-12-13-AA-484-DFW-MIA,December 13- 2011               04:15 PM    ,December 13- 2011               04:40 PM    , D25,December 13- 2011               07:55 PM    ,December 13- 2011               08:12 PM    , D34    
2011-12-13-AA-3979-CVG-ORD,December 13- 2011               07:30 AM    ,December 13- 2011               07:23 AM    , 5,December 13- 2011               08:00 AM    ,December 13- 2011               07:44 AM    , G1B    
2011-12-13-AA-3063-SLC-LAX,December 13- 2011               08:20 PM    ,December 13- 2011               08:12 PM    , A3,December 13- 2011               09:20 PM    ,December 13- 2011     , 44E    
2011-12-13-AA-3859-IAH-ORD,December 13- 2011               07:10 AM    ,December 13- 2011               06:59 AM    , A29,December 13- 2011               09:40 AM    ,December 13- 2011               09:18 AM    , H3A    
2011-12-13-AA-3842-MSP-ORD,December 13- 2011               06:00 AM    ,December 13- 2011               05:54 AM    , E14,December 13- 2011               07:30 AM    ,December 13- 2011               07:02 AM    , H5    
2011-12-13-AA-1544-SAN-ORD,December 13- 2011               11:25 AM    ,December 13- 2011               11:23 AM    , 27,December 13- 2011               05:25 PM    ,December 13- 2011               05:04 PM    , H10    
2011-12-13-AA-649-ORD-SNA,December 13- 2011               01:30 PM    ,December 13- 2011     , K19,December 13- 2011               03:50 PM    ,December 13- 2011     , 7    
2011-12-13-AA-1640-MIA-MCO,December 13- 2011               06:30 PM    ,December 13- 2011     , D45,December 13- 2011               07:25 PM    ,December 13- 2011     , 14    
2011-12-13-AA-518-MIA-JFK,December 13- 2011               06:30 AM    ,December 13- 2011               06:53 AM    , D22,December 13- 2011               09:15 AM    ,December 13- 2011               09:38 AM    , 38    
2011-12-13-AA-2525-DFW-MIA,December 13- 2011               07:25 AM    ,December 13- 2011               07:24 AM    , C8,December 13- 2011               11:10 AM    ,December 13- 2011               11:07 AM    , D21    
2011-12-13-AA-1279-DFW-PHX,December 13- 2011               01:00 PM    ,December 13- 2011               01:02 PM    , A22,December 13- 2011               02:35 PM    ,December 13- 2011               02:43 PM    , 4    
2011-12-13-AA-1522-SFO-ORD,December 13- 2011               11:55 PM    ,December 13- 2011     , 58A,December 14- 2011               05:50 AM    ,December 14- 2011     , H9    
2011-12-13-AA-1434-DFW-MCO,December 13- 2011               07:15 AM    ,December 13- 2011               07:10 AM    , C26,December 13- 2011               10:35 AM    ,December 13- 2011               10:28 AM    , 15    
2011-12-13-AA-59-JFK-SFO,December 13- 2011               07:10 AM    ,December 13- 2011               07:08 AM    , 40,December 13- 2011               10:45 AM    ,December 13- 2011               10:52 AM    , 58B    
2011-12-13-AA-415-BOS-ORD,December 13- 2011               08:35 AM    ,December 13- 2011               08:28 AM    , B29,December 13- 2011               10:40 AM    ,December 13- 2011               10:14 AM    , K13    
2011-12-13-AA-222-LAX-BOS,December 13- 2011               07:10 AM    ,December 13- 2011               07:03 AM    , 47A,December 13- 2011               03:30 PM    ,December 13- 2011               03:08 PM    , B34    
